headline,label
"@MissJoJoSmith good !!, awww thats good then glad its better !!, yh am good tar!!",1
May you have a great Day!,1
Bored... anyone know what I could do in London today? Tweet me back,1
"@arnteriksen morning, by the way",1
"watching x-ment, the last stand. lol.... just made a dvd of my year 10 camp experiance",1
"@d2theory way too deep at 6:24am, Bell. I'm deep in Handy Mandy speak and Pooh quotes.",1
@leightonmarissa good job..,1
Back to normal!! over 12 hours sleep!!,1
@barrogapoga http://twitpic.com/4d581 - hmmmm...That one- probably I like But....grr... I KISS YOU I KISS YOU Obstinate American G ...,1
working at the special olympics today until noon,1
@tracytaylor950 Crispin Glover was Marty McFly ... according to some Google info,1
"@SVargas22 I know, I can't figure out why either. We are just special lol.",1
"@craig42k Hi, Dear. [___]D",1
"@skribe I used to play Furrymuck years ago, was like secondlife with no graphics",1
So bored I'm resorting to hairspray to bore me to sleep. Night all. Love u babe!!,1
@DrClarke That's awesome! I just found the missing pieces to my old &quot;Survive!&quot; boardgame.,1
"@allieblue Hi Allie , pull up a bar stool",1
@hannahwinter Looks stronger than it was!,1
@Sabatea learning biology is veeeeery successful,1
The Cartel is coming... keep your eyes on The Green Well tomm... or for those of you still up,1
heading off to town to see Charlie,1
"Still haven't bread, but there's a pan of pilaw",1
@michaelgrainger LOL GO for it. Tis nice to know someone thinks of me in my absence Even if it is taking the piss out of me!,1
@rabbit1080 Thanks! It's been a good one - lovely to share it with you,1
"Found my dream caaar hehe, finally!!!",1
@nithinkd Tell me it was him yesterday http://tinyurl.com/dzym2v,1
@resiliencyyy morning to you jaz.... and a good afternoon to me,1
Just had a soft boiled egg I need some hairspray?,1
@fOre_1 oh honey this was your first twitt' ! congrats,1
"This is the last day of the ANPW Yellowstone Workshop. Everyone had a great time and everyone is very, very tired",1
"@studiochristine Thanks for the shout out! Buying your robot knitter print was a no-brainer, really.",1
"@wchingya Blue skies, sunshine, warmth... everything going great so far, thank you No juicy news... just enjoying being",1
@JessicaVampire yea we're going to get her another one and name it Moe the second,1
"Since Brian moved out I've been staying up later enjoying my house, but 'lil Bry Bry still gets up at the crack of the crack. Ugh!",1
Finally going to bed! Its 4:30am!! Gnight all,1
@eTraxx thanks so much!,1
"On my way to Hampton court, sun is out, bliss v excited as I've never been!",1
...now the picture...! http://twitpic.com/4ebck,1
@h2o_x Last night? It was immense!!!! Loved it!!,1
@laura_eyedea It is all such nice kit with people working in the shop that know what they are talking about,1
Good morning world! I'm going to meet my new granddaughter today.,1
@superbeccax Haha SOOO JEALOUS ATM. Lol but glad you had fun no? Lol - Is 'Down Goes Another One' just as amazing live? xx,1
@T4Texas THANK YOU You'all Have a Great Day !,1
@reevesman Do you also hate that you have a miss-timed New YearsEve count down on your hard drive as well?,1
"it's 6am... i woke up and couldn't go back to sleep. so, shower. who votes i make my man some pancakes? i think so!",1
"@libbyoliver Thanks Libby, and you!",1
@fullsizebarbie you had 2 optns to wake up 2day or not wake up 2day....*welcome! to Saturday!!*,1
and i r add timtamz aswell,1
@TinyDelights God morning have fun with that,1
Just got home from a nice night out.....weather turned shit.... Korean food was great,1
"cheese on toast, football focus .... looking forward to heading home to Brighton on Monday",1
@LAURASTYLEZ Did you just throw an egg at me?,1
just saw @ecjc at the Farmers Market,1
@pop_art I love showing you guys off,1
@28parkave I am thanks... happy days design was appropriate,1
"an odd, excentric, weird boy. what could be more interesting than that?",1
"@holmescnn not good I agree, but funny",1
@grum waiting for someone to pocket it,1
@ThatGuyHugs You're not coming to the game? I was going to introduce you to my mom!,1
Colby o'Donis he was first known with chantelle Paige ! Not lady gaga ! That's a fact from my mouth!!!,1
@TheRealJordin Kat Von D's makeup rox too!,1
How do random american people find me on Twitter? Why?? LOL,1
just created a blog! http://OrangeKicksAss.blogspot.com,1
@taffysaint and I know that told you nowt. Flickr is connected to Yahoo... Picasa to Google. See... dumb blonde rules!,1
Just had a shower and now getting ready to go ice skating,1
